,Date,IPO
0,Nov 4 2021,LIBY
1,Nov 4 2021,SHCA
2,Nov 4 2021,CDRE
3,Nov 4 2021,ARHS
4,Nov 4 2021,LGST
5,Nov 4 2021,NRDS
6,Nov 4 2021,LION
7,Nov 4 2021,MDXH
8,Nov 4 2021,DHAC
9,Nov 4 2021,MPRA
10,Nov 4 2021,FNVT
11,Nov 4 2021,EVO
12,Nov 3 2021,ONYX
13,Nov 3 2021,TGVC
14,Nov 3 2021,MLAI
15,Nov 3 2021,TRAQ
16,Nov 3 2021,INTE
17,Nov 3 2021,FRLA
18,Nov 3 2021,BIRD
19,Nov 3 2021,CMTG
20,Nov 1 2021,VSAC
21,Nov 1 2021,LIAN
22,Oct 29 2021,BFRI
23,Oct 29 2021,PEGR
24,Oct 29 2021,SEDA
25,Oct 29 2021,CCTS
26,Oct 29 2021,ARCK
27,Oct 29 2021,AIRS
28,Oct 29 2021,UDMY
29,Oct 29 2021,SONX
30,Oct 29 2021,AURA
31,Oct 29 2021,AEAE
32,Oct 29 2021,TRDA
33,Oct 29 2021,HRT
34,Oct 28 2021,FIAC
35,Oct 28 2021,PCCT
36,Oct 28 2021,DTC
37,Oct 28 2021,GFS
38,Oct 28 2021,FLNC
39,Oct 28 2021,ADAL
40,Oct 28 2021,SCMA
41,Oct 27 2021,OHAA
42,Oct 27 2021,USCT
43,Oct 27 2021,DMAQ
44,Oct 27 2021,LVAC
45,Oct 27 2021,IOAC
46,Oct 27 2021,PHYT
47,Oct 27 2021,RENT
48,Oct 27 2021,MRAI
49,Oct 27 2021,INFA
50,Oct 27 2021,AIP
51,Oct 22 2021,MBSC
52,Oct 22 2021,UTRS
53,Oct 22 2021,ARIS
54,Oct 22 2021,XLO
55,Oct 22 2021,PGSS
56,Oct 22 2021,ICNC
57,Oct 21 2021,PTLO
58,Oct 21 2021,THAC
59,Oct 21 2021,VTYX
60,Oct 21 2021,NHIC
61,Oct 21 2021,PX
62,Oct 21 2021,ENFN
63,Oct 21 2021,XFIN
64,Oct 21 2021,GOGN
65,Oct 21 2021,ENER
66,Oct 21 2021,GTAC
67,Oct 21 2021,RWAY
68,Oct 21 2021,COCO
69,Oct 20 2021,SDIG
70,Oct 20 2021,AXH
71,Oct 20 2021,CYN
72,Oct 20 2021,ESAC
73,Oct 20 2021,ACAQ
74,Oct 20 2021,NCAC
75,Oct 20 2021,WWAC
76,Oct 20 2021,CNTX
77,Oct 19 2021,BMAQ
78,Oct 19 2021,SMAP
79,Oct 19 2021,FEXD
80,Oct 19 2021,ENTF
81,Oct 15 2021,AVHI
82,Oct 15 2021,FOUN
83,Oct 15 2021,INKT
84,Oct 15 2021,CDAQ
85,Oct 15 2021,SANB
86,Oct 15 2021,PEPL
87,Oct 15 2021,FNA
88,Oct 14 2021,LUCD
89,Oct 14 2021,BMAC
90,Oct 14 2021,ROSE
91,Oct 14 2021,GTLB
92,Oct 14 2021,TRIS
93,Oct 14 2021,IHS
94,Oct 13 2021,AVDX
95,Oct 13 2021,FATP
96,Oct 13 2021,HCTI
97,Oct 12 2021,GIAC
98,Oct 8 2021,SAMA
99,Oct 8 2021,HWKZ
100,Oct 8 2021,ISO
101,Oct 8 2021,CGTX
102,Oct 8 2021,JMAC
103,Oct 8 2021,LCW
104,Oct 8 2021,PYXS
105,Oct 7 2021,THRX
106,Oct 7 2021,LTH
107,Oct 7 2021,TCN
108,Oct 7 2021,IXAQ
109,Oct 6 2021,PBAX
110,Oct 6 2021,PCX
111,Oct 6 2021,NFYS
112,Oct 6 2021,VLCN
113,Oct 6 2021,AVAC
114,Oct 6 2021,NVEI
115,Oct 5 2021,RNER
116,Oct 5 2021,BHAC
117,Oct 1 2021,FWRG
118,Oct 1 2021,TDCX
119,Oct 1 2021,EXAI
120,Oct 1 2021,MTRY
121,Oct 1 2021,GATE
122,Oct 1 2021,DMYS
123,Sep 30 2021,OLPX
124,Sep 30 2021,HPLT
125,Sep 30 2021,ARTE
126,Sep 29 2021,MEKA
127,Sep 29 2021,HCVI
128,Sep 29 2021,WRBY
129,Sep 28 2021,BACA
130,Sep 28 2021,AMPL
131,Sep 28 2021,PRBM
132,Sep 24 2021,CWAN
133,Sep 24 2021,HLTH
134,Sep 24 2021,GIA
135,Sep 24 2021,DSAQ
136,Sep 23 2021,ARBK
137,Sep 23 2021,THRN
138,Sep 23 2021,RELY
139,Sep 23 2021,BRLT
140,Sep 23 2021,SOVO
141,Sep 23 2021,LOCC
142,Sep 23 2021,STER
143,Sep 23 2021,ESMT
144,Sep 22 2021,VBNK
145,Sep 22 2021,TOST
146,Sep 22 2021,FRSH
147,Sep 22 2021,ARGU
148,Sep 22 2021,IPAX
149,Sep 22 2021,AKA
150,Sep 21 2021,HHGC
151,Sep 16 2021,ACT
152,Sep 16 2021,FORG
153,Sep 16 2021,FLYA
154,Sep 15 2021,CIIG
155,Sep 15 2021,SIER
156,Sep 15 2021,KTTA
157,Sep 15 2021,EZFL
158,Sep 15 2021,BROS
159,Sep 15 2021,TWKS
160,Sep 15 2021,AEHA
161,Sep 15 2021,EDNC
162,Sep 15 2021,DICE
163,Sep 15 2021,ONON
164,Sep 15 2021,PRCT
165,Sep 15 2021,TYRA
166,Sep 15 2021,DH
167,Sep 15 2021,WINV
168,Sep 14 2021,SRAD
169,Sep 14 2021,PAFO
170,Sep 10 2021,FHLT
171,Sep 10 2021,FLAG
172,Sep 10 2021,BNIX
173,Sep 10 2021,SLVR
174,Sep 8 2021,BNNR
175,Sep 3 2021,DWAC
176,Sep 3 2021,OXUS
177,Sep 2 2021,GIPR
178,Sep 2 2021,DTRT
179,Sep 2 2021,INAQ
180,Sep 1 2021,CNDA
181,Aug 31 2021,DDI
182,Aug 31 2021,CHWA
183,Aug 31 2021,REVE
184,Aug 27 2021,SQL
185,Aug 26 2021,MEOA
186,Aug 26 2021,SWSS
187,Aug 26 2021,CCAI
188,Aug 26 2021,RNXT
189,Aug 20 2021,WAVC
190,Aug 13 2021,JAQC
191,Aug 13 2021,KCGI
192,Aug 13 2021,AACI
193,Aug 13 2021,DATS
194,Aug 13 2021,DRMA
195,Aug 13 2021,APMI
196,Aug 13 2021,CENQ
197,Aug 12 2021,PPHP
198,Aug 12 2021,AFTR
199,Aug 12 2021,SSBK
200,Aug 12 2021,OXAC
201,Aug 11 2021,VCXA
202,Aug 11 2021,TPBA
203,Aug 11 2021,DCRD
204,Aug 11 2021,CNTQ
205,Aug 11 2021,WQGA
206,Aug 11 2021,PONO
207,Aug 10 2021,AHPA
208,Aug 10 2021,CPAA
209,Aug 10 2021,ASPA
210,Aug 10 2021,ELYM
211,Aug 6 2021,RVAC
212,Aug 6 2021,NOVV
213,Aug 6 2021,ROCG
214,Aug 6 2021,ADGI
215,Aug 5 2021,WEBR
216,Aug 5 2021,EWCZ
